Zone Name,Lat,Long,Distance,Unit,Band(2m;1.25m;70cm),Use,Operational Status
McKinney,,,3,miles,2m,OPEN,On-Air
McKinney,,,3,miles,70cm,OPEN,On-Air
Anna,,,12,miles,70cm,OPEN,On-Air
Farmersville,,,17,miles,70cm,OPEN,On-Air
Allen,,,7,miles,70cm,OPEN,On-Air
Plano,,,14,miles,70cm,OPEN,On-Air
Fairview,,,3,miles,70cm,OPEN,On-Air
Murphy,,,13,miles,70cm,OPEN,On-Air
Richardson,,,18,miles,70cm,OPEN,On-Air
Melissa,,,12,miles,70cm,OPEN,On-Air
Celina,,,11,miles,70cm,OPEN,On-Air
Prosper,,,6,miles,70cm,OPEN,On-Air
Dallas,,,20,miles,70cm,OPEN,On-Air
